search_term,product_name,unit_size,price,store,date,clean_price,normalized_qty,unit_type,unit_uncertain,price_per_unit,brand_type,category
Dish Soap,"Dawn Ultra Dish Soap, 28 fl oz",28 fl oz,$4.95,Aldi,2026-02-03,4.95,28.0,oz,False,0.176786,National,Household
Dish Soap,"Radiance Citrus Automatic Dishwashing Gel, 75 fl oz",75 fl oz,$4.95,Aldi,2026-02-03,4.95,75.0,oz,False,0.066,National,Household
Dish Soap,"Dawn Fresh Scent Ultra Platinum Powerwash Dish Spray, 16 fl oz",16 fl oz,$5.45,Aldi,2026-02-03,5.45,16.0,oz,False,0.340625,National,Household
Dish Soap,"Power Force Triple Chamber Dish Pacs, 18 count",18 ct,$3.75,Aldi,2026-02-03,3.75,18.0,count,False,0.208333,National,Household
Dish Soap,"Power Force Original Dishwashing Liquid Detergent, 24 fl oz",24 fl oz,$2.35,Aldi,2026-02-03,2.35,24.0,oz,False,0.097917,National,Household
Whole Milk,"Publix Horizon Organic Whole Milk, 64 fl oz Half Gallon Carton",64 fl oz,Current price: $6.87,Publix,2026-02-03,6.87,64.0,oz,False,0.107344,National,Dairy
Whole Milk,Publix Horizon Organic DHA Omega-3 Vitamin D Organic Whole Milk,64 fl oz,Current price: $7.41,Publix,2026-02-03,7.41,64.0,oz,False,0.115781,National,Dairy
Whole Milk,Publix GreenWise Organic Whole Milk,0.5 gal,Current price: $5.97,Publix,2026-02-03,5.97,64.0,oz,False,0.093281,Private,Dairy
Whole Milk,Publix GreenWise Organic Whole Milk,1 gal,Current price: $8.85,Publix,2026-02-03,8.85,128.0,oz,False,0.069141,Private,Dairy
Whole Milk,Publix Organic Valley® Whole Milk,64 fl oz,Current price: $5.83,Publix,2026-02-03,5.83,64.0,oz,False,0.091094,National,Dairy
Salted Butter,"Publix Land O Lakes Butter, Salted, Half Sticks",1 lb,Current price: $7.43,Publix,2026-02-03,7.43,16.0,oz,False,0.464375,National,Dairy
Salted Butter,"Publix Publix Butter, Salted, Sweet Cream",8 oz,Current price: $3.87,Publix,2026-02-03,3.87,8.0,oz,False,0.48375,Private,Dairy
Salted Butter,"Publix Publix Whipped Butter, Salted",8 oz,Current price: $3.87,Publix,2026-02-03,3.87,8.0,oz,False,0.48375,Private,Dairy
Salted Butter,Publix Kerrygold Grass-Fed Salted Butter Sticks,8 oz,Current price: $6.91,Publix,2026-02-03,6.91,8.0,oz,False,0.86375,Private,Dairy
Salted Butter,"Publix Land O Lakes Butter, Salted, Half Sticks",1 lb,Current price: $7.43,Publix,2026-02-03,7.43,16.0,oz,False,0.464375,National,Dairy
