search_term,product_name,unit_size,price,store,date,clean_price,normalized_qty,unit_type,unit_uncertain,price_per_unit,brand_type,category
Bananas,"Bake Shop Banana Nut Muffins, 4 count",14.1 oz,$4.29,Aldi,2026-02-18,False,4.29,14.1,oz,False,0.304255,National,Produce,False
Gala Apples,"Gala Apples, 3 lb",3 lb,$2.19,Aldi,2026-02-18,False,2.19,48.0,oz,False,0.045625,National,Produce,False
Gala Apples,"Organic Gala Apples, 3 lb",3 lb,$4.75,Aldi,2026-02-18,False,4.75,48.0,oz,False,0.098958,National,Produce,False
Iceberg Lettuce,"Iceberg Lettuce, each",1 each,$2.55,Aldi,2026-02-18,False,2.55,1.0,count,False,2.55,National,Produce,False
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef, per lb",avg. 2 lb/package  ($5.49/lb),$10.98,Aldi,2026-02-18,False,10.98,32.0,oz,False,0.343125,National,Meat,False
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef Patties, 4 count",avg. 1.33 lb/package  ($5.59/lb),$7.43,Aldi,2026-02-18,False,7.43,21.28,oz,False,0.349154,National,Meat,False
Ground Beef 80/20,"Fresh  80%  Lean 20% Fat Ground Beef Patties Family Pack, 10 count",2.2 lb,$12.00,Aldi,2026-02-18,False,12.0,35.2,oz,False,0.340909,National,Meat,False
Ground Beef 80/20,"Never Any! Antibiotic Free 80% Lean Ground Pork, 16 oz",16 oz,$3.55,Aldi,2026-02-18,False,3.55,16.0,oz,False,0.221875,Private,Meat,False
Chicken Breast,Simply Nature Organic  Chicken  Breast Strips,avg. 1.25 lb/package  ($7.29/lb),$9.11,Aldi,2026-02-18,False,9.11,20.0,oz,False,0.4555,Private,Meat,False
Chicken Breast,Simply Nature Organic  Chicken  Breast Strips,avg. 1.25 lb/package  ($6.49/lb),$8.11,Aldi,2026-02-18,False,8.11,20.0,oz,False,0.4055,Private,Meat,False
Chicken Breast,"Simply Nature Organic Chicken Breasts, per lb",avg. 1 lb/package  ($5.79/lb),$5.79,Aldi,2026-02-18,False,5.79,16.0,oz,False,0.361875,Private,Meat,False
Chicken Breast,"Kirkwood Fresh Chicken Breasts, per lb",avg. 1.75 lb/package  ($3.49/lb),$6.11,Aldi,2026-02-18,False,6.11,28.0,oz,False,0.218214,National,Meat,False
Chicken Breast,"Kirkwood Split Chicken Breasts, per lb",avg. 2.7 lb/package  ($1.99/lb),$5.37,Aldi,2026-02-18,False,5.37,43.2,oz,False,0.124306,National,Meat,False
White Bread,"L'oven Fresh White Bread,  20 oz",20 oz,$1.55,Aldi,2026-02-18,False,1.55,20.0,oz,False,0.0775,National,Pantry,False
White Bread,"L'oven Fresh Keto  Friendly White Bread, 14 oz",14 oz,$4.95,Aldi,2026-02-18,False,4.95,14.0,oz,False,0.353571,National,Pantry,False
White Bread,"liveGfree Gluten Free Wide Pan White Bread, 20 oz",20 oz,$7.69,Aldi,2026-02-18,False,7.69,20.0,oz,False,0.3845,National,Pantry,False
Tomato Sauce,"Happy Harvest Tomato Sauce, 8 oz",8 oz,$0.55,Aldi,2026-02-18,False,0.55,8.0,oz,False,0.06875,National,Pantry,False
Dish Soap,"Dawn Ultra Dish Soap, 28 fl oz",28 fl oz,$4.95,Aldi,2026-02-18,False,4.95,28.0,oz,False,0.176786,National,Household,False
Whole Milk,Publix Lactaid Whole Milk,96 fl oz,Current price: $7.75,Publix,2026-02-18,False,7.75,96.0,oz,False,0.080729,Private,Dairy,False
Whole Milk,Publix Organic Valley® Grassmilk® Organic Whole Milk,59 fl oz,Current price: $8.19,Publix,2026-02-18,False,8.19,59.0,oz,False,0.138814,National,Dairy,False
Whole Milk,"Publix Publix Milk, Whole",64 oz,Current price: $3.23,Publix,2026-02-18,False,3.23,64.0,oz,False,0.050469,Private,Dairy,False
Whole Milk,"Publix Publix Milk, Whole",1 gal,Current price: $4.73,Publix,2026-02-18,False,4.73,128.0,oz,False,0.036953,Private,Dairy,False
Whole Milk,"Publix Publix Milk, Whole",,Current price: $2.43,Publix,2026-02-18,False,2.43,,,True,,Private,Dairy,False
Large Eggs (12 count),"Publix Nellies Eggs, Free Range, Grade A, Brown, Extra Large",18 ct,Current price: $8.75,Publix,2026-02-18,False,8.75,18.0,count,False,0.486111,National,Dairy,False
Large Eggs (12 count),Publix 12 ct,12 ct,Current price: $4.41,Publix,2026-02-18,False,4.41,12.0,count,False,0.3675,Private,Dairy,False
Large Eggs (12 count),"Publix Publix Eggs, Large",12 ct,Current price: $2.43,Publix,2026-02-18,False,2.43,12.0,count,False,0.2025,Private,Dairy,False
Large Eggs (12 count),Publix Eggland's Best Grade A Large White Eggs,12 ct,Current price: $4.41,Publix,2026-02-18,False,4.41,12.0,count,False,0.3675,National,Dairy,False
Large Eggs (12 count),"Publix Eggland's Best Cage Free Large Brown Eggs, 12 count",12 ct,Current price: $5.53,Publix,2026-02-18,False,5.53,12.0,count,False,0.460833,National,Dairy,False
Salted Butter,"Publix Land O Lakes Butter, Salted",1 lb,Current price: $6.63,Publix,2026-02-18,False,6.63,16.0,oz,False,0.414375,National,Dairy,False
Salted Butter,"Publix Land O Lakes Butter, Salted, Half Sticks",1 lb,Current price: $6.63,Publix,2026-02-18,False,6.63,16.0,oz,False,0.414375,National,Dairy,False
Salted Butter,"Publix Publix Butter, Sweet Cream, Salted",16 oz,Current price: $5.31,Publix,2026-02-18,False,5.31,16.0,oz,False,0.331875,Private,Dairy,False
Salted Butter,"Publix Publix Butter, Salted, Sweet Cream",8 oz,Current price: $2.43,Publix,2026-02-18,False,2.43,8.0,oz,False,0.30375,Private,Dairy,False
Salted Butter,"Publix Publix Whipped Butter, Salted",8 oz,Current price: $3.87,Publix,2026-02-18,False,3.87,8.0,oz,False,0.48375,Private,Dairy,False
Bananas,Publix Tru Fru Nature's Bananas Hyper-Chilled in Peanut Butter & Dark Chocolate,8 oz,Current price: $9.97,Publix,2026-02-18,False,9.97,8.0,oz,False,1.24625,Private,Produce,False
Bananas,Publix Diana’s Gluten Free Dark Chocolate Frozen Fresh Fruit Banana Sticks,4 x 2.3 oz,Current price: $7.53,Publix,2026-02-18,False,7.53,4.0,oz,False,1.8825,Private,Produce,False
Bananas,Publix Banana,About 0.41 lb each,Current price: $0.34 each (estimated),Publix,2026-02-18,False,0.34,6.56,oz,False,0.051829,Private,Produce,False
Bananas,Publix Organic Bananas,About 0.46 lb each,Current price: $0.49 each (estimated),Publix,2026-02-18,False,0.49,7.36,oz,False,0.066576,Private,Produce,False
Bananas,Publix Tru Fru Nature's Bananas Hyper-Chilled in Peanut Butter & Dark Chocolate,8 oz,Current price: $9.97,Publix,2026-02-18,False,9.97,8.0,oz,False,1.24625,Private,Produce,False
Gala Apples,Publix Gala Apple,About 0.54 lb each,Current price: $1.59 each (estimated),Publix,2026-02-18,False,1.59,8.64,oz,False,0.184028,Private,Produce,False
Gala Apples,Publix GreenWise Organic Gala Apples,2 lb,Current price: $6.63,Publix,2026-02-18,False,6.63,32.0,oz,False,0.207187,Private,Produce,False
Gala Apples,Publix CMI Orchards Gala Snack Apples,2 lb,Current price: $5.53,Publix,2026-02-18,False,5.53,32.0,oz,False,0.172813,Private,Produce,False
Iceberg Lettuce,Publix Iceberg Lettuce,,Current price: $2.97,Publix,2026-02-18,False,2.97,,,True,,Private,Produce,False
Iceberg Lettuce,Publix Organic Iceberg Lettuce,,Current price: $3.87,Publix,2026-02-18,False,3.87,,,True,,Private,Produce,False
Iceberg Lettuce,Publix Fresh Express Iceberg Lettuce Shreds,,Current price: $4.19,Publix,2026-02-18,False,4.19,,,True,,National,Produce,False
Ground Beef 80/20,"Publix Schweid & Sons Ground Beef, 80%/20%, Butcher's Blend",16 oz,Current price: $9.19,Publix,2026-02-18,False,9.19,16.0,oz,False,0.574375,Private,Meat,False
Ground Beef 80/20,"Publix Publix Ground Chuck Beef, USDA-Inspected",About 1.52 lb / package,Current price: $10.93 per package (estimated),Publix,2026-02-18,False,10.93,24.32,oz,False,0.449424,Private,Meat,False
Ground Beef 80/20,Publix GreenWise Ground Chuck 100% Beef 80% Lean 20% Fat,About 1.19 lb each,Current price: $13.08 each (estimated),Publix,2026-02-18,False,13.08,19.04,oz,False,0.686975,Private,Meat,False
Ground Beef 80/20,"Publix Schweid & Sons Ground Beef, 80%/20%, Butcher's Blend",16 oz,Current price: $9.19,Publix,2026-02-18,False,9.19,16.0,oz,False,0.574375,Private,Meat,False
Ground Beef 80/20,Publix Force of Nature Grass Fed Ground Beef 80/20,16 oz,Current price: $10.99,Publix,2026-02-18,False,10.99,16.0,oz,False,0.686875,National,Meat,False
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-18,False,9.43,18.08,oz,False,0.521571,National,Meat,False
Chicken Breast,Publix Just Bare Fully Cooked Lightly Breaded Chicken Breast Bites,1.5 lb,Current price: $15.49,Publix,2026-02-18,False,15.49,24.0,oz,False,0.645417,National,Meat,False
Chicken Breast,"Publix Publix Boneless Skinless Chicken Breast, USDA Grade A, 97% Fat Free",About 2.14 lb / package,Current price: $10.15 per package (estimated),Publix,2026-02-18,False,10.15,34.24,oz,False,0.296437,Private,Meat,False
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-18,False,9.43,18.08,oz,False,0.521571,National,Meat,False
Chicken Breast,Publix Perdue Fresh Boneless Skinless Chicken Breasts,About 1.53 lb / package,Current price: $11.86 per package (estimated),Publix,2026-02-18,False,11.86,24.48,oz,False,0.484477,Private,Meat,False
White Bread,"Publix Nature's Own Butterbread, Sliced White Bread, 20 oz Loaf",20 oz,Current price: $4.87,Publix,2026-02-18,False,4.87,20.0,oz,False,0.2435,National,Pantry,False
White Bread,"Publix Nature's Own Perfectly Crafted White Bread, Thick Sliced Non-GMO Sandwich Bread, 22 oz Loaf",22 oz,Current price: $5.31,Publix,2026-02-18,False,5.31,22.0,oz,False,0.241364,National,Pantry,False
White Bread,"Publix Publix Bread, Enriched, Large White",20 oz,Current price: $2.65,Publix,2026-02-18,False,2.65,20.0,oz,False,0.1325,Private,Pantry,False
White Bread,"Publix Publix Bread, White Sandwich",20 oz,Current price: $3.31,Publix,2026-02-18,False,3.31,20.0,oz,False,0.1655,Private,Pantry,False
White Bread,"Publix Publix Bread, White, Old Fashioned, Enriched",20 oz,Current price: $3.05,Publix,2026-02-18,False,3.05,20.0,oz,False,0.1525,Private,Pantry,False
Spaghetti Pasta,Publix Barilla Spaghetti - Non-GMO Pasta Made with Durum Wheat Semolina & Kosher Certified,1 lb,Current price: $2.19,Publix,2026-02-18,False,2.19,16.0,oz,False,0.136875,Private,Pantry,False
Spaghetti Pasta,"Publix Ronzoni Spaghetti, 16 oz, Classic Pasta, Non-GMO, Great Taste",1 lb,Current price: $2.19,Publix,2026-02-18,False,2.19,16.0,oz,False,0.136875,Private,Pantry,False
Spaghetti Pasta,Publix Barilla Thin Spaghetti Pasta,16 oz,Current price: $2.19,Publix,2026-02-18,False,2.19,16.0,oz,False,0.136875,Private,Pantry,False
Spaghetti Pasta,"Publix Ronzoni Spaghetti, 16 oz, Classic Pasta, Non-GMO, Great Taste",1 lb,Current price: $2.19,Publix,2026-02-18,False,2.19,16.0,oz,False,0.136875,Private,Pantry,False
Spaghetti Pasta,"Publix Ronzoni Thin Spaghetti, 16 oz, Non-GMO Pasta for Entrees, Soups, Sides",1 lb,Current price: $2.19,Publix,2026-02-18,False,2.19,16.0,oz,False,0.136875,Private,Pantry,False
Tomato Sauce,Publix Tuttorosso Tomato Sauce,28 oz,Current price: $2.87,Publix,2026-02-18,False,2.87,28.0,oz,False,0.1025,Private,Pantry,False
Tomato Sauce,Publix Contadina Tomato Sauce,8 oz,Current price: $1.09,Publix,2026-02-18,False,1.09,8.0,oz,False,0.13625,National,Pantry,False
Tomato Sauce,Publix Publix Tomato Sauce,15 oz,Current price: $1.35,Publix,2026-02-18,False,1.35,15.0,oz,False,0.09,Private,Pantry,False
Tomato Sauce,Publix Publix Tomato Sauce,8 oz,Current price: $0.83,Publix,2026-02-18,False,0.83,8.0,oz,False,0.10375,Private,Pantry,False
Tomato Sauce,Publix Publix Tomato Sauce,29 oz,Current price: $2.43,Publix,2026-02-18,False,2.43,29.0,oz,False,0.083793,Private,Pantry,False
Dish Soap,"Publix Dawn Platinum Dishwashing Liquid Dish Soap, Refreshing Rain Scent",54.8 fl oz,Current price: $12.69,Publix,2026-02-18,False,12.69,54.8,oz,False,0.231569,Private,Household,False
Dish Soap,Publix Dawn Ultra Dish Soap,70 fl oz,Current price: $12.69,Publix,2026-02-18,False,12.69,70.0,oz,False,0.181286,Private,Household,False
Dish Soap,"Publix Dawn Ultra Dishwashing Liquid Dish Soap, Original Scent",7.5 fl oz,Current price: $2.09,Publix,2026-02-18,False,2.09,7.5,oz,False,0.278667,Private,Household,False
Dish Soap,"Publix Ajax Triple Action Liquid Dish Soap, Orange",28 fl oz,Current price: $3.17,Publix,2026-02-18,False,3.17,28.0,oz,False,0.113214,Private,Household,False
Dish Soap,Publix Seventh Generation Dish Liquid Soap Free & Clear Liquid Soap,19 fl oz,Current price: $4.41,Publix,2026-02-18,False,4.41,19.0,oz,False,0.232105,Private,Household,False
Whole Milk,"Walmart Lactaid Whole Milk, 64 oz",64 oz,$4.48,Walmart,2026-02-18,False,4.48,64.0,oz,False,0.07,National,Dairy,False
Whole Milk,"Walmart a2 Milk® Vitamin D Whole Milk, 59 oz",59 oz,$4.37,Walmart,2026-02-18,False,4.37,59.0,oz,False,0.074068,National,Dairy,False
Whole Milk,"Walmart Organic Valley Grassmilk Organic Grassfed Whole Milk, 59 fl oz",59 fl oz,$6.67,Walmart,2026-02-18,False,6.67,59.0,oz,False,0.113051,National,Dairy,False
Whole Milk,"Walmart Lactaid Whole Milk, 96 oz",96 oz,$6.38,Walmart,2026-02-18,False,6.38,96.0,oz,False,0.066458,National,Dairy,False
Whole Milk,"Walmart Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$3.38,Walmart,2026-02-18,False,3.38,128.0,oz,False,0.026406,National,Dairy,False
Large Eggs (12 count),"Walmart Eggland's Best Large White Eggs, 12 Count",12 Count,$3.87,Walmart,2026-02-18,False,3.87,12.0,count,False,0.3225,National,Dairy,False
Large Eggs (12 count),"Walmart Eggland's Best Extra Large White Eggs, 12 Count",12 Count,$3.96,Walmart,2026-02-18,False,3.96,12.0,count,False,0.33,National,Dairy,False
Large Eggs (12 count),"Walmart Eggland's Best Large White Eggs, 24 Count",24 Count,$7.46,Walmart,2026-02-18,False,7.46,24.0,count,False,0.310833,National,Dairy,False
Large Eggs (12 count),"Walmart Eggland's Best Extra Large White Eggs, 18 Count",18 Count,$5.84,Walmart,2026-02-18,False,5.84,18.0,count,False,0.324444,National,Dairy,False
Large Eggs (12 count),Walmart Pete & Gerry's Organic Eggs Large 12 Ct,,$6.54,Walmart,2026-02-18,False,6.54,12.0,count,False,0.545,National,Dairy,False
Salted Butter,"Walmart Country Crock Homestyle Dairy Free Butter Salted Sticks, 16 oz, 4-pack",4-pack,$3.47,Walmart,2026-02-18,False,3.47,4.0,count,False,0.8675,National,Dairy,False
Salted Butter,"Walmart Land O Lakes Salted Butter Balls, 8 oz Bag",8 oz Bag,$3.97,Walmart,2026-02-18,False,3.97,8.0,oz,False,0.49625,National,Dairy,False
Salted Butter,"Walmart Great Value Sweet Cream Salted Butter, 16 oz, 4 Sticks",4 Sticks,$3.44,Walmart,2026-02-18,False,3.44,4.0,count,False,0.86,National,Dairy,False
Salted Butter,"Walmart Great Value Sweet Cream Salted Butter Twin Pack, 16 oz, 8 Sticks",8 Sticks,$6.46,Walmart,2026-02-18,False,6.46,8.0,count,False,0.8075,National,Dairy,False
Salted Butter,"Walmart Land O Lakes Salted Stick Butter, 16 oz box, 4 Sticks",4 Sticks,$4.96,Walmart,2026-02-18,False,4.96,4.0,count,False,1.24,National,Dairy,False
Bananas,"Walmart Fresh Banana, Each",Each,$0.20,Walmart,2026-02-18,False,0.2,1.0,count,False,0.2,National,Produce,False
Bananas,"Walmart Marketside Fresh Organic Bananas, Bunch",Bunch,$1.71,Walmart,2026-02-18,False,1.71,,,True,,National,Produce,False
Bananas,"Walmart Great Value Sliced Bananas, 16 oz Bag",16 oz Bag,$2.47,Walmart,2026-02-18,False,2.47,16.0,oz,False,0.154375,National,Produce,False
Bananas,"Walmart Savor Banana Slices, 30 Pound - 1 each.",30 Pound - 1 each.,$136.04,Walmart,2026-02-18,False,136.04,480.0,oz,False,0.283417,National,Produce,False
Bananas,"Walmart Dole Individually Quick Frozen Sliced Banana, 30 Pound -- 1 Each",30 Pound -- 1 Each,$130.55,Walmart,2026-02-18,False,130.55,480.0,oz,False,0.271979,National,Produce,False
Gala Apples,"Walmart Fresh Gala Apples, 3 lb Bag",3 lb Bag,$2.38,Walmart,2026-02-18,False,2.38,48.0,oz,False,0.049583,National,Produce,False
Gala Apples,"Walmart Fresh Gala Apple, Each",Each,$0.73,Walmart,2026-02-18,False,0.73,1.0,count,False,0.73,National,Produce,False
Gala Apples,"Walmart Fresh Organic Gala Apples, 3 lb Bag",3 lb Bag,$4.97,Walmart,2026-02-18,False,4.97,48.0,oz,False,0.103542,National,Produce,False
Gala Apples,Walmart The Perfect Garnish Co. Dehydrated Apples Gala - 35 slices - Natural Fruit,,$14.99,Walmart,2026-02-18,False,14.99,,,True,,National,Produce,False
Gala Apples,"Walmart Fresh Gala Apples, 9-Count Box (4 lb.)",9-Count Box (4 lb.),$25.99,Walmart,2026-02-18,False,25.99,9.0,count,False,2.887778,National,Produce,False
Iceberg Lettuce,"Walmart Fresh Iceberg Lettuce, Each",Each,$2.17,Walmart,2026-02-18,False,2.17,1.0,count,False,2.17,National,Produce,False
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",Bag,$1.97,Walmart,2026-02-18,False,1.97,1.0,count,False,1.97,National,Produce,False
Iceberg Lettuce,"Walmart Marketside Organic Fresh Iceberg Lettuce, Each",Each,$2.66,Walmart,2026-02-18,False,2.66,1.0,count,False,2.66,National,Produce,False
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 16 oz Bag",16 oz Bag,$3.84,Walmart,2026-02-18,False,3.84,16.0,oz,False,0.24,National,Produce,False
Iceberg Lettuce,Walmart Iceberg Lettuce Seeds,,$4.85,Walmart,2026-02-18,False,4.85,,,True,,National,Produce,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Tray, Fresh, All Natural*",All Natural*,$7.43,Walmart,2026-02-18,False,7.43,,,True,,National,Meat,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 5 lb Roll, Fresh, All Natural*",All Natural*,$26.43,Walmart,2026-02-18,False,26.43,,,True,,National,Meat,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",All Natural*,$7.23,Walmart,2026-02-18,False,7.23,,,True,,National,Meat,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 3 lb Roll, Fresh, All Natural*",All Natural*,$19.43,Walmart,2026-02-18,False,19.43,,,True,,National,Meat,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 4.5 lb Tray, Fresh, All Natural*",All Natural*,$23.73,Walmart,2026-02-18,False,23.73,,,True,,National,Meat,False
Chicken Breast,"Walmart Sanderson Farms Fresh Boneless Skinless Chicken Breast Fillets, 25g Protein, 4oz 112g, 1.6 - 3.05lb",1.6 - 3.05lb,$10.67,Walmart,2026-02-18,False,10.67,25.6,oz,False,0.416797,National,Meat,False
Chicken Breast,"Walmart Sanderson Farms, Boneless Skinless Chicken Breast Fillets with Rib Meat, 25g Protein, 3.0 - 4 lb",3.0 - 4 lb,$13.54,Walmart,2026-02-18,False,13.54,48.0,oz,False,0.282083,National,Meat,False
Chicken Breast,"Walmart Perdue Harvestland, Free Range, Fresh Boneless Chicken Breasts, 1.3-1.9 lb. Tray",1.3-1.9 lb. Tray,$9.94,Walmart,2026-02-18,False,9.94,20.8,oz,False,0.477885,National,Meat,False
Chicken Breast,"Walmart Freshness Guaranteed Boneless, Skinless Chicken Breasts, 4.7-6.1 lb Tray",4.7-6.1 lb Tray,$11.57,Walmart,2026-02-18,False,11.57,75.2,oz,False,0.153856,National,Meat,False
Chicken Breast,"Walmart Great Value All Natural Boneless Skinless Chicken Breasts, 3 lb (Frozen)",3 lb (Frozen),$9.94,Walmart,2026-02-18,False,9.94,48.0,oz,False,0.207083,National,Meat,False
White Bread,"Walmart Sola Sweet & Buttery Sliced Bread, Soft White Bread, Non-GMO, 14 oz, Regular, Shelf-Stable",Shelf-Stable,$5.64,Walmart,2026-02-18,False,5.64,,,True,,National,Pantry,False
White Bread,"Walmart Sola Sweet Oat Sliced Bread, Soft White Bread, Non-GMO, 14 oz, Regular, Shelf-Stable",Shelf-Stable,$5.64,Walmart,2026-02-18,False,5.64,,,True,,National,Pantry,False
White Bread,"Walmart Bimbo Soft White Bread, 20 oz, White Bread, Bag",Bag,$1.98,Walmart,2026-02-18,False,1.98,1.0,count,False,1.98,National,Pantry,False
White Bread,"Walmart Dave's Killer Bread White Bread Done Right Organic Bread Loaf, 24 oz, Shelf-Stable (24 ounce)",Shelf-Stable (24 ounce),$6.42,Walmart,2026-02-18,False,6.42,,,True,,National,Pantry,False
White Bread,"Walmart Sara Lee Sandwich White Bread, 24 oz, Plain Sandwich Bread, Bag",Bag,$2.62,Walmart,2026-02-18,False,2.62,1.0,count,False,2.62,National,Pantry,False
Spaghetti Pasta,"Walmart Mueller’s Spaghetti (12-Pack, 32 oz Each) – Classic Italian Pasta for All Your Favorite Dishes – Perfect for spaghetti and meatballs, pasta primavera, creamy Alfredo, or homemade carbonara.",or homemade carbonara.,N/A,Walmart,2026-02-18,True,999.0,,,True,,National,Pantry,False
Spaghetti Pasta,"Walmart Brami Spaghetti High Protein Pasta, Made in Italy, 21g Protein, High Fiber, Low Carb Vs. Regular Pasta Noodles, Durum Wheat Plus Lupini Beans, Bronze Cut Shelf-Stable Noodles, 14.5 oz Box",14.5 oz Box,$2.98,Walmart,2026-02-18,False,2.98,14.5,oz,False,0.205517,National,Pantry,False
Spaghetti Pasta,"Walmart Carbe Diem! Spaghetti Pasta, 12 OZ",12 OZ,$3.78,Walmart,2026-02-18,False,3.78,12.0,oz,False,0.315,National,Pantry,False
Spaghetti Pasta,"Walmart Barilla Classic Non-GMO, Kosher Certified Spaghetti Pasta, 16 oz",16 oz,$1.84,Walmart,2026-02-18,False,1.84,16.0,oz,False,0.115,National,Pantry,False
Spaghetti Pasta,"Walmart Barilla Protein+ Spaghetti Pasta, Plant Based Pasta, 14.5oz",14.5oz,$2.52,Walmart,2026-02-18,False,2.52,14.5,oz,False,0.173793,National,Pantry,False
Tomato Sauce,"Walmart Contadina Tomato Sauce, Canned Tomatoes, 15 oz Can",15 oz Can,$1.16,Walmart,2026-02-18,False,1.16,15.0,oz,False,0.077333,National,Pantry,False
Tomato Sauce,"Walmart Contadina Tomato Sauce, Canned Tomatoes, 15 oz Can",15 oz Can,$1.16,Walmart,2026-02-18,False,1.16,15.0,oz,False,0.077333,National,Pantry,False
Tomato Sauce,"Walmart Bertolli Pasta Sauce with Olive Oil and Garlic, Spaghetti Tomato Sauce, 24 oz",24 oz,$2.88,Walmart,2026-02-18,False,2.88,24.0,oz,False,0.12,National,Pantry,False
Tomato Sauce,"Walmart Carbone Fine Foods Tomato Basil Sauce, 24 oz",24 oz,$7.97,Walmart,2026-02-18,False,7.97,24.0,oz,False,0.332083,National,Pantry,False
Tomato Sauce,"Walmart Great Value Tomato Sauce, 15 oz",15 oz,$0.96,Walmart,2026-02-18,False,0.96,15.0,oz,False,0.064,National,Pantry,False
Dish Soap,"Walmart Dawn Platinum EZ-Squeeze Dish Soap Liquid, Dishwashing Liquid, Grease Removal, Fresh Rain, 18oz",18oz,$3.94,Walmart,2026-02-18,False,3.94,18.0,oz,False,0.218889,National,Household,False
Dish Soap,"Walmart Dawn Platinum EZ-Squeeze Dish Soap Liquid, Dishwashing Liquid, Grease Removal, Fresh Rain, 24.3oz",24.3oz,$4.94,Walmart,2026-02-18,False,4.94,24.3,oz,False,0.203292,National,Household,False
Dish Soap,"Walmart Dawn Platinum Bleach Alternative EZ-Squeeze Dish Soap, Dishwashing Liquid, Clean Lemon, 24.3 fl oz",24.3 fl oz,$4.94,Walmart,2026-02-18,False,4.94,24.3,oz,False,0.203292,National,Household,False
Dish Soap,"Walmart Ajax Ultra Triple Action Dishwashing Liquid Dish Soap, Orange Scent, 90 Fluid Ounce",90 Fluid Ounce,$5.97,Walmart,2026-02-18,False,5.97,,,True,,National,Household,False
Dish Soap,"Walmart Dawn EZ-Squeeze Ultra Dish Soap Dishwashing Liquid, Original Scent, 22.0 fl oz",22.0 fl oz,$3.94,Walmart,2026-02-18,False,3.94,22.0,oz,False,0.179091,National,Household,False
Whole Milk,"Friendly Farms Whole  Milk, 1 gal",1 gal,$3.75,Aldi,2026-03-04,False,3.75,128.0,oz,False,0.029297,Private,Dairy,False
Whole Milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-03-04,False,2.25,64.0,oz,False,0.035156,Private,Dairy,False
Whole Milk,"Friendly Farms Lactose Free Whole Milk, 64 fl oz",64 fl oz,$3.29,Aldi,2026-03-04,False,3.29,64.0,oz,False,0.051406,Private,Dairy,False
Whole Milk,"Simply Nature Kids Organic Whole Milk, 59 fl oz",59 fl oz,$5.49,Aldi,2026-03-04,False,5.49,59.0,oz,False,0.093051,Private,Dairy,False
Large Eggs (12 count),"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-03-04,False,4.25,12.0,count,False,0.354167,Private,Dairy,False
Large Eggs (12 count),"Goldhen Pasture Raised Large Brown Eggs Grade A, 12 count",12 ct,$4.35,Aldi,2026-03-04,False,4.35,12.0,count,False,0.3625,Private,Dairy,False
Large Eggs (12 count),"Happy Farms Mozzarella String  Cheese, 12 count",12 oz,$3.45,Aldi,2026-03-04,False,3.45,12.0,oz,False,0.2875,National,Dairy,False
Large Eggs (12 count),"Happy Farms Gouda Cheese Snack Sticks, 12 count",9 oz,$3.19,Aldi,2026-03-04,False,3.19,9.0,oz,False,0.354444,National,Dairy,False
Large Eggs (12 count),"Happy Farms Habanero Jack Cheese Snack Sticks, 12 count",9 oz,$3.19,Aldi,2026-03-04,False,3.19,9.0,oz,False,0.354444,National,Dairy,False
Salted Butter,"Countryside Creamery Salted Butter Sticks, 1 lb",16 oz,$3.55,Aldi,2026-03-04,False,3.55,16.0,oz,False,0.221875,National,Dairy,False
Salted Butter,"Simply Nature Organic Salted Butter, 16 oz",16 oz.,$6.85,Aldi,2026-03-04,False,6.85,16.0,oz,False,0.428125,Private,Dairy,False
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.47/lb),$0.16,Aldi,2026-03-04,False,0.16,5.28,oz,False,0.030303,National,Produce,False
Bananas,Sweet Banana Pepper,1 ea,$1.64,Aldi,2026-03-04,False,1.64,,,True,,National,Produce,False
Bananas,"Simply Nature Dark Chocolate Covered Banana, 4 oz",4 oz,$4.39,Aldi,2026-03-04,False,4.39,4.0,oz,False,1.0975,Private,Produce,False
Bananas,"Organic Bananas, per lb",avg. 1 lb/piece  ($0.73/lb),$0.73,Aldi,2026-03-04,False,0.73,16.0,oz,False,0.045625,National,Produce,False
